Gender,Coffee Consumption (cups/day),Revenue Generated ($)
Male,8.12552534274398,62.12416002093283
Female,5.76005427777614,73.39655213712034
Female,6.112401049845391,58.44374294450451
Male,9.330369744633948,99.68883790663813
Female,1.6393245237809824,8.504648425427588
Female,1.7841636973138664,19.940446807121177
Female,1.1819655769629316,13.144588625456151
Female,8.493578609931442,94.86766704560667
Female,8.003410758548654,115.5490890421789
Female,8.830109334221373,104.35602454485964
Female,9.807565080094877,84.29679671733123
Male,8.192427077950512,76.76565951210597
Male,5.153314260276387,61.71769920523838
Female,8.024762586578099,44.95676404778635
Male,2.064469832820399,24.087546859765236
Male,6.7592891919477145,79.12679899794723
Male,2.2901795866814174,16.269036401057758
Male,9.502020253446254,59.76070418241384
Male,5.696634895750645,46.45197598859109
Female,4.731957459914712,40.870426257706306
